RCDTS,Type,School_Name,District,School_Type,PERC_ELA_Proficiency,NR_ELA_Proficiency,PERC_Math_Proficiency,NR_Math_Proficiency
070161440022004,School,Highlands Elem School,Prairie-Hills ESD 144,ELEMENTARY,37.5,63.0,31.0,52.0
070161440022005,School,Markham Park Elem School,Prairie-Hills ESD 144,ELEMENTARY,30.8,52.0,20.7,35.0
070161440022007,School,Nob Hill Elem School,Prairie-Hills ESD 144,ELEMENTARY,27.6,27.0,20.4,20.0
070161440022009,School,Chateaux School,Prairie-Hills ESD 144,ELEMENTARY,25.5,36.0,20.6,29.0
070161440022010,School,Mae Jemison School,Prairie-Hills ESD 144,ELEMENTARY,27.3,59.0,12.0,26.0
070161450022002,School,Kimberly Heights Elem School,Arbor Park SD 145,ELEMENTARY,,,,
070161450022003,School,Scarlet Oak Elem School,Arbor Park SD 145,ELEMENTARY,37.9,96.0,24.9,63.0
070161450022004,School,Morton Gingerwood Elem School,Arbor Park SD 145,ELEMENTARY,,,,
070161460042002,School,Bert H Fulton School,CCSD 146,ELEMENTARY,51.1,112.0,38.8,85.0
070161460042003,School,Memorial Elem School,CCSD 146,ELEMENTARY,49.4,79.0,40.6,65.0
